City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Carballo,43.21,-8.69,66.0,77,100,3.0,ES,1592687846
Lata,40.16,-8.33,63.0,92,0,3.18,PT,1592687846
Luwuk,-0.95,122.79,77.27,79,100,5.32,ID,1592687847
Constitución,-35.33,-72.42,55.29,91,100,22.93,CL,1592687847
Taltal,-25.4,-70.48,65.12,60,21,7.29,CL,1592687847
São Félix do Xingu,-6.64,-51.99,79.79,67,14,3.27,BR,1592687847
Passy,45.92,6.69,60.8,77,98,4.7,FR,1592687847
Ushuaia,-54.8,-68.3,37.4,89,75,7.4,AR,1592687847
Kiruna,67.86,20.23,64.4,48,8,6.93,SE,1592687847
Vilyuysk,63.76,121.62,68.04,59,1,3.29,RU,1592687848
Necochea,-38.55,-58.74,51.01,81,100,1.99,AR,1592687848
Butaritari,3.07,172.79,83.05,77,97,10.33,KI,1592687848
Thompson,55.74,-97.86,50.0,93,90,9.17,CA,1592687657
Luanda,-8.84,13.23,73.4,88,20,6.93,AO,1592687848
Rochegda,62.8,43.25,41.54,87,1,5.84,RU,1592687848
Bluff,-46.6,168.33,39.0,83,19,3.0,NZ,1592687849
Puerto Ayora,-0.74,-90.35,77.0,69,20,25.28,EC,1592687849
Dzerzhinsk,56.24,43.46,61.0,67,75,13.42,RU,1592687849
Tual,-5.67,132.75,80.29,81,10,21.83,ID,1592687849
Okha,53.57,142.95,41.05,95,100,10.51,RU,1592687849
Solana Beach,32.99,-117.27,73.0,68,90,5.82,US,1592687849
Anadyr,64.75,177.48,60.8,51,22,4.47,RU,1592687850
Barrow,71.29,-156.79,35.6,74,90,4.7,US,1592687633
Chui,-33.7,-53.46,55.47,90,26,6.93,UY,1592687850
Saint-Philippe,-21.36,55.77,68.0,77,74,8.05,RE,1592687850
Murdochville,48.96,-65.5,54.84,91,100,3.94,CA,1592687850
San Patricio,19.22,-104.7,87.8,74,40,11.41,MX,1592687850
Albany,42.6,-73.97,91.0,42,78,4.83,US,1592687703
Ryōtsu-minato,38.08,138.43,55.4,93,33,2.24,JP,1592687851
Villa Sandino,12.05,-84.99,89.6,62,40,6.93,NI,1592687851
Hasaki,35.73,140.83,68.0,82,75,11.41,JP,1592687851
Bengkulu,-3.8,102.27,75.38,89,100,4.41,ID,1592687851
Caravelas,-17.71,-39.25,71.85,81,28,3.0,BR,1592687851
Jamestown,42.1,-79.24,80.01,61,75,9.17,US,1592687791
Villamartín,36.86,-5.64,77.0,41,0,9.17,ES,1592687852
Tass,47.02,19.03,61.0,87,75,11.41,HU,1592687852
Tiarei,-17.53,-149.33,82.4,74,75,3.36,PF,1592687852
Tuktoyaktuk,69.45,-133.04,41.0,100,90,10.29,CA,1592687852
Vaini,-21.2,-175.2,77.0,78,75,18.34,TO,1592687852
Fuxin,42.02,121.66,72.45,60,33,15.48,CN,1592687852
Yellowknife,62.46,-114.35,73.4,33,20,17.22,CA,1592687852
Rikitea,-23.12,-134.97,76.14,81,67,15.52,PF,1592687853
Mezen',65.85,44.24,41.94,79,100,11.59,RU,1592687853
Hilo,19.73,-155.09,82.4,54,20,5.82,US,1592687559
Brae,60.4,-1.35,55.4,93,51,12.75,GB,1592687853
Torbay,47.67,-52.73,44.01,81,75,12.75,CA,1592687853
Tomigusuku,26.18,127.67,82.4,88,75,13.87,JP,1592687854
Boden,65.83,21.69,60.8,55,0,3.62,SE,1592687854
